Params,Name,Value1,Value2
"(0, 40, 20, 80)",front_8,8.5,0.13
"(0, 40, 20, 90)",front_8,9.27,0.13
"(0, 40, 20, 100)",front_8,8.65,0.13
"(0, 40, 30, 0)",back_9,8.14,0.12
"(0, 40, 30, 10)",back_3,8.76,0.13
"(0, 40, 30, 20)",back_3,10.46,0.14
"(0, 40, 30, 30)",back_3,8.61,0.13
"(0, 40, 30, 40)",back_3,8.36,0.13
"(0, 40, 30, 60)",back_9,8.17,0.13
"(0, 40, 30, 50)",front_12,7.69,0.12
"(0, 40, 30, 70)",front_4,8.24,0.12
"(0, 40, 30, 80)",front_8,8.42,0.13
"(0, 40, 30, 100)",front_4,8.63,0.13
"(0, 40, 30, 90)",front_4,8.76,0.13
"(0, 40, 40, 0)",back_2,7.51,0.12
"(0, 40, 40, 20)",back_3,9.87,0.13
"(0, 40, 40, 10)",back_2,8.23,0.12
"(0, 40, 40, 30)",back_3,8.18,0.12
"(0, 40, 40, 40)",back_3,7.67,0.12
"(0, 40, 40, 60)",back_9,8.67,0.13
"(0, 40, 40, 50)",back_3,7.78,0.12
